query,brand,attributes,product_type,tokens,bioes_tags,augmented_query,brand_added
arata hair gel,Arata,[],hair gel,"['arata', 'hair', 'gel']","['S-Brand', 'B-ProductType', 'E-ProductType']",arata hair gel,False
lavender room freshener,Aroma,['lavender'],room freshener,"['lavender', 'room', 'freshener', 'Aroma']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",lavender room freshener Aroma,True
fnp roses bouquet,FNP,[],bouquet,"['fnp', 'roses', 'bouquet']","['S-Brand', 'O', 'S-ProductType']",fnp roses bouquet,False
paper boat coconut water,Paper Boat,[],coconut water,"['paper', 'boat', 'coconut', 'water']","['B-Brand', 'E-Brand', 'B-ProductType', 'E-ProductType']",paper boat coconut water,False
lakme nail polish,Lakme,[],nail polish,"['lakme', 'nail', 'polish']","['S-Brand', 'B-ProductType', 'E-ProductType']",lakme nail polish,False
fortune arhar dal,Fortune,[],arhar dal,"['fortune', 'arhar', 'dal']","['S-Brand', 'B-ProductType', 'E-ProductType']",fortune arhar dal,False
schezwan fried rice,Masoori rice,['schezwan'],fried rice,"['schezwan', 'fried', 'rice', 'Masoori', 'rice']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",schezwan fried rice Masoori rice,True
plum gift set,Plum,['gift set'],,"['plum', 'gift', 'set']","['S-Brand', 'B-Attribute', 'E-Attribute']",plum gift set,False
pampers m size,Pampers,['m size'],,"['pampers', 'm', 'size']","['S-Brand', 'B-Attribute', 'E-Attribute']",pampers m size,False
watches for women,,['for women'],watches,"['watches', 'for', 'women']","['S-ProductType', 'B-Attribute', 'E-Attribute']",watches for women,False
sugar pop kajal,SUGAR POP,[],kajal,"['sugar', 'pop', 'kajal']","['B-Brand', 'E-Brand', 'S-ProductType']",sugar pop kajal,False
cash on delivery,Delivery Fees,[],,"['cash', 'on', 'delivery', 'Delivery', 'Fees']","['O', 'O', 'O', 'B-Brand', 'E-Brand']",cash on delivery Delivery Fees,True
namaste india milk,Amul,[],milk,"['namaste', 'india', 'milk', 'Amul']","['O', 'O', 'S-ProductType', 'S-Brand']",namaste india milk Amul,True
minimalist vitamin c serum,Minimalist,['vitamin c'],serum,"['minimalist', 'vitamin', 'c', 'serum']","['S-Brand', 'B-Attribute', 'E-Attribute', 'S-ProductType']",minimalist vitamin c serum,False
himalaya koflet lozenges,Himalaya,"['koflet', 'lozenges']",,"['himalaya', 'koflet', 'lozenges']","['S-Brand', 'S-Attribute', 'S-Attribute']",himalaya koflet lozenges,False
led night lamp,Night Light,[],night lamp,"['led', 'night', 'lamp', 'Night', 'Light']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",led night lamp Night Light,True
acne spot corrector,Acne,"['acne', 'spot', 'corrector']",,"['acne', 'spot', 'corrector']","['S-Brand', 'S-Attribute', 'S-Attribute']",acne spot corrector,False
women's crop top,,"[""women's""]",crop top,"[""women's"", 'crop', 'top']","['S-Attribute', 'B-ProductType', 'E-ProductType']",women's crop top,False
monin mojito syrup,Monin,['mojito'],syrup,"['monin', 'mojito', 'syrup']","['S-Brand', 'S-Attribute', 'S-ProductType']",monin mojito syrup,False
basket for clothes,Chef's Basket,[],basket,"['basket', 'for', 'clothes', ""Chef's"", 'Basket']","['S-ProductType', 'O', 'O', 'B-Brand', 'E-Brand']",basket for clothes Chef's Basket,True
daily good chakki fresh atta,Daily Good,"['chakki', 'fresh']",atta,"['daily', 'good', 'chakki', 'fresh', 'atta']","['B-Brand', 'E-Brand', 'S-Attribute', 'S-Attribute', 'S-ProductType']",daily good chakki fresh atta,False
rajdhani chana sattu,Rajdhani FM,[],chana sattu,"['rajdhani', 'chana', 'sattu', 'Rajdhani', 'FM']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",rajdhani chana sattu Rajdhani FM,True
daily good seeds,Daily Good,[],seeds,"['daily', 'good', 'seeds']","['B-Brand', 'E-Brand', 'S-ProductType']",daily good seeds,False
gokul cow milk,Gokul,[],milk,"['gokul', 'cow', 'milk']","['S-Brand', 'O', 'S-ProductType']",gokul cow milk,False
blue heaven mascara,Blue Heaven,[],mascara,"['blue', 'heaven', 'mascara']","['B-Brand', 'E-Brand', 'S-ProductType']",blue heaven mascara,False
hot and cold water bottle,,['hot and cold'],water bottle,"['hot', 'and', 'cold', 'water', 'bottle']","['B-Attribute', 'I-Attribute', 'E-Attribute', 'B-ProductType', 'E-ProductType']",hot and cold water bottle,False
surf excel pods,Surf Excel,[],pods,"['surf', 'excel', 'pods']","['B-Brand', 'E-Brand', 'S-ProductType']",surf excel pods,False
garnier bright complete,Garnier,"['bright', 'complete']",,"['garnier', 'bright', 'complete']","['S-Brand', 'S-Attribute', 'S-Attribute']",garnier bright complete,False
black face mask,Suraksha Mask,['black'],face mask,"['black', 'face', 'mask', 'Suraksha', 'Mask']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",black face mask Suraksha Mask,True
samsung wired earphones,Samsung,[],earphones,"['samsung', 'wired', 'earphones']","['S-Brand', 'O', 'S-ProductType']",samsung wired earphones,False
body cupid perfume,Cupid Angel,[],perfume,"['body', 'cupid', 'perfume', 'Cupid', 'Angel']","['O', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",body cupid perfume Cupid Angel,True
heritage buffalo milk,Heritage,[],milk,"['heritage', 'buffalo', 'milk']","['S-Brand', 'O', 'S-ProductType']",heritage buffalo milk,False
salicylic acid facewash,Salactin,['salicylic acid'],facewash,"['salicylic', 'acid', 'facewash', 'Salactin']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'S-Brand']",salicylic acid facewash Salactin,True
dabur coconut oil,Dabur Hair Care,['coconut'],oil,"['dabur', 'coconut', 'oil', 'Dabur', 'Hair', 'Care']","['O', 'S-Attribute', 'S-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",dabur coconut oil Dabur Hair Care,True
double horse puttu,Double Horse,[],puttu,"['double', 'horse', 'puttu']","['B-Brand', 'E-Brand', 'S-ProductType']",double horse puttu,False
red label leaf tea,Red Label,"['red', 'leaf']",tea,"['red', 'label', 'leaf', 'tea']","['B-Brand', 'E-Brand', 'S-Attribute', 'S-ProductType']",red label leaf tea,False
balaji chana jor,Balaji,[],chana jor,"['balaji', 'chana', 'jor']","['S-Brand', 'B-ProductType', 'E-ProductType']",balaji chana jor,False
water bottle milton,Milton,[],water bottle,"['water', 'bottle', 'milton']","['B-ProductType', 'E-ProductType', 'S-Brand']",water bottle milton,False
oreo chocolate shake,Oreo,['chocolate'],shake,"['oreo', 'chocolate', 'shake']","['S-Brand', 'S-Attribute', 'S-ProductType']",oreo chocolate shake,False
pepe jeans men,Pepe Jeans,['men'],,"['pepe', 'jeans', 'men']","['B-Brand', 'E-Brand', 'S-Attribute']",pepe jeans men,False
tata filter coffee,Tata,['filter'],coffee,"['tata', 'filter', 'coffee']","['S-Brand', 'S-Attribute', 'S-ProductType']",tata filter coffee,False
haldiram's salted peanuts,Haldiram's,['salted'],peanuts,"[""haldiram's"", 'salted', 'peanuts']","['S-Brand', 'S-Attribute', 'S-ProductType']",haldiram's salted peanuts,False
face wash dot and key,Dot & Key,[],face wash,"['face', 'wash', 'dot', 'and', 'key', 'Dot', '&', 'Key']","['B-ProductType', 'E-ProductType', 'O', 'O', 'O', 'B-Brand', 'I-Brand', 'E-Brand']",face wash dot and key Dot & Key,True
relish chicken wings,Relish,[],chicken wings,"['relish', 'chicken', 'wings']","['S-Brand', 'B-ProductType', 'E-ProductType']",relish chicken wings,False
vitamin c moisturizer,Moistane,['vitamin c'],moisturizer,"['vitamin', 'c', 'moisturizer', 'Moistane']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'S-Brand']",vitamin c moisturizer Moistane,True
sunny soyabean oil,Sunny,[],soyabean oil,"['sunny', 'soyabean', 'oil']","['S-Brand', 'B-ProductType', 'E-ProductType']",sunny soyabean oil,False
face mask sheet,Suraksha Mask,[],face mask,"['face', 'mask', 'sheet', 'Suraksha', 'Mask']","['B-ProductType', 'E-ProductType', 'O', 'B-Brand', 'E-Brand']",face mask sheet Suraksha Mask,True
bingo spicy chips,Bingo!,['spicy'],chips,"['bingo', 'spicy', 'chips', 'Bingo', '!']","['O', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",bingo spicy chips Bingo!,True
lizol citrus cleaner,Lizol,['citrus'],cleaner,"['lizol', 'citrus', 'cleaner']","['S-Brand', 'S-Attribute', 'S-ProductType']",lizol citrus cleaner,False
type c connector,,[],connector,"['type', 'c', 'connector']","['O', 'O', 'S-ProductType']",type c connector,False
figaro massage oil,Figaro,[],massage oil,"['figaro', 'massage', 'oil']","['S-Brand', 'B-ProductType', 'E-ProductType']",figaro massage oil,False
toyshine kids mask,Toyshine,[],mask,"['toyshine', 'kids', 'mask']","['S-Brand', 'O', 'S-ProductType']",toyshine kids mask,False
hot lunch box,Hot Delivery Bag,['hot'],lunch box,"['hot', 'lunch', 'box', 'Hot', 'Delivery', 'Bag']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",hot lunch box Hot Delivery Bag,True
toastea elaichi rusk,Ruchi,['elaichi'],rusk,"['toastea', 'elaichi', 'rusk', 'Ruchi']","['O', 'S-Attribute', 'S-ProductType', 'S-Brand']",toastea elaichi rusk Ruchi,True
mother dairy butter milk,Mother Dairy,[],butter milk,"['mother', 'dairy', 'butter', 'milk']","['B-Brand', 'E-Brand', 'B-ProductType', 'E-ProductType']",mother dairy butter milk,False
sex toy for men,Dickie Toys,['for men'],sex toy,"['sex', 'toy', 'for', 'men', 'Dickie', 'Toys']","['B-ProductType', 'E-ProductType', 'B-Attribute', 'E-Attribute', 'B-Brand', 'E-Brand']",sex toy for men Dickie Toys,True
tata tea 1kg,Tata Tea Premium,['1kg'],tea,"['tata', 'tea', '1kg', 'Tata', 'Tea', 'Premium']","['O', 'S-ProductType', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",tata tea 1kg Tata Tea Premium,True
minimalist face moisturizer,Minimalist,"['face', 'moisturizer']",,"['minimalist', 'face', 'moisturizer']","['S-Brand', 'S-Attribute', 'S-Attribute']",minimalist face moisturizer,False
daily good raisin,Daily Good,[],raisin,"['daily', 'good', 'raisin']","['B-Brand', 'E-Brand', 'S-ProductType']",daily good raisin,False
farm made eggs,Farm Made,['farm made'],eggs,"['farm', 'made', 'eggs']","['B-Brand', 'E-Brand', 'S-ProductType']",farm made eggs,False
dairy milk fruit and nuts,Dairy Milk,['fruit and nuts'],,"['dairy', 'milk', 'fruit', 'and', 'nuts']","['B-Brand', 'E-Brand', 'B-Attribute', 'I-Attribute', 'E-Attribute']",dairy milk fruit and nuts,False
saundarya face wash,Sahasthra,[],face wash,"['saundarya', 'face', 'wash', 'Sahasthra']","['O', 'B-ProductType', 'E-ProductType', 'S-Brand']",saundarya face wash Sahasthra,True
iphone 15 pro max,,[],iphone,"['iphone', '15', 'pro', 'max']","['S-ProductType', 'O', 'O', 'O']",iphone 15 pro max,False
milk drink mix,Milk Shake,[],milk drink mix,"['milk', 'drink', 'mix', 'Milk', 'Shake']","['B-ProductType', 'I-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",milk drink mix Milk Shake,True
gota garam masala,Sakthi Masala,['gota'],garam masala,"['gota', 'garam', 'masala', 'Sakthi', 'Masala']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",gota garam masala Sakthi Masala,True
mee mee soap,Mee Mee,[],soap,"['mee', 'mee', 'soap']","['B-Brand', 'E-Brand', 'S-ProductType']",mee mee soap,False
edible coconut oil,Bio Oil,['edible'],coconut oil,"['edible', 'coconut', 'oil', 'Bio', 'Oil']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",edible coconut oil Bio Oil,True
thai curry red,Real Thai,['red'],curry,"['thai', 'curry', 'red', 'Real', 'Thai']","['O', 'S-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",thai curry red Real Thai,True
big mustard seeds,,['big'],mustard seeds,"['big', 'mustard', 'seeds']","['S-Attribute', 'B-ProductType', 'E-ProductType']",big mustard seeds,False
whole wheat paratha,,['whole wheat'],paratha,"['whole', 'wheat', 'paratha']","['B-Attribute', 'E-Attribute', 'S-ProductType']",whole wheat paratha,False
mars lip crayon,Mars Cosmetics,[],lip crayon,"['mars', 'lip', 'crayon', 'Mars', 'Cosmetics']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",mars lip crayon Mars Cosmetics,True
epigamia protein yogurt,Epigamia,['protein'],yogurt,"['epigamia', 'protein', 'yogurt']","['S-Brand', 'S-Attribute', 'S-ProductType']",epigamia protein yogurt,False
gyan dairy khoya,Gyan Dairy,[],khoya,"['gyan', 'dairy', 'khoya']","['B-Brand', 'E-Brand', 'S-ProductType']",gyan dairy khoya,False
tobacco free flavour,Nicopenta,"['tobacco free', 'flavour']",,"['tobacco', 'free', 'flavour', 'Nicopenta']","['B-Attribute', 'E-Attribute', 'S-Attribute', 'S-Brand']",tobacco free flavour Nicopenta,True
moong dal green,Dalda,"['moong', 'green']",dal,"['moong', 'dal', 'green', 'Dalda']","['S-Attribute', 'S-ProductType', 'S-Attribute', 'S-Brand']",moong dal green Dalda,True
til ka oil,Priya Oil,['til'],oil,"['til', 'ka', 'oil', 'Priya', 'Oil']","['S-Attribute', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",til ka oil Priya Oil,True
maggi instant cup noodles,Maggi,['instant'],noodles,"['maggi', 'instant', 'cup', 'noodles']","['S-Brand', 'S-Attribute', 'O', 'S-ProductType']",maggi instant cup noodles,False
daily good poha,Daily Good,[],poha,"['daily', 'good', 'poha']","['B-Brand', 'E-Brand', 'S-ProductType']",daily good poha,False
harry potterkinder joy,Kinder Joy,[],,"['harry', 'potterkinder', 'joy']","['O', 'O', 'O']",harry potterkinder joy,False
dry fruits laddu,Shree Ganesh Dry Fruits,['dry fruits'],laddu,"['dry', 'fruits', 'laddu', 'Shree', 'Ganesh', 'Dry', 'Fruits']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'B-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",dry fruits laddu Shree Ganesh Dry Fruits,True
prestige rice cooker,Prestige,[],rice cooker,"['prestige', 'rice', 'cooker']","['S-Brand', 'B-ProductType', 'E-ProductType']",prestige rice cooker,False
parle marie biscuit,Parle,[],biscuit,"['parle', 'marie', 'biscuit']","['S-Brand', 'O', 'S-ProductType']",parle marie biscuit,False
new year calender,Caleat,['new year'],calender,"['new', 'year', 'calender', 'Caleat']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'S-Brand']",new year calender Caleat,True
gym t shirt,,[],t shirt,"['gym', 't', 'shirt']","['O', 'B-ProductType', 'E-ProductType']",gym t shirt,False
lip balm dot and key,Dot & Key,[],lip balm,"['lip', 'balm', 'dot', 'and', 'key', 'Dot', '&', 'Key']","['B-ProductType', 'E-ProductType', 'O', 'O', 'O', 'B-Brand', 'I-Brand', 'E-Brand']",lip balm dot and key Dot & Key,True
birthday decoration kit,,[],decoration kit,"['birthday', 'decoration', 'kit']","['O', 'B-ProductType', 'E-ProductType']",birthday decoration kit,False
whole truth whey,The Whole Truth,[],whey,"['whole', 'truth', 'whey', 'The', 'Whole', 'Truth']","['O', 'O', 'S-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",whole truth whey The Whole Truth,True
colgate toothpaste small,Colgate,['small'],toothpaste,"['colgate', 'toothpaste', 'small']","['S-Brand', 'S-ProductType', 'S-Attribute']",colgate toothpaste small,False
set wet deodorant,Set Wet,[],deodorant,"['set', 'wet', 'deodorant']","['B-Brand', 'E-Brand', 'S-ProductType']",set wet deodorant,False
washing liquid top load,,['top load'],washing liquid,"['washing', 'liquid', 'top', 'load']","['B-ProductType', 'E-ProductType', 'B-Attribute', 'E-Attribute']",washing liquid top load,False
go zero chocolate,Go Zero,[],chocolate,"['go', 'zero', 'chocolate']","['B-Brand', 'E-Brand', 'S-ProductType']",go zero chocolate,False
sanitary pad sofy,Sofy,[],sanitary pad,"['sanitary', 'pad', 'sofy']","['B-ProductType', 'E-ProductType', 'S-Brand']",sanitary pad sofy,False
rice sheet mask,Suraksha Mask,['rice'],sheet mask,"['rice', 'sheet', 'mask', 'Suraksha', 'Mask']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",rice sheet mask Suraksha Mask,True
mdh degi mirch,MDH,['degi mirch'],,"['mdh', 'degi', 'mirch']","['S-Brand', 'B-Attribute', 'E-Attribute']",mdh degi mirch,False
ujala front load liquid detergent,Ujala,[],liquid detergent,"['ujala', 'front', 'load', 'liquid', 'detergent']","['S-Brand', 'O', 'O', 'B-ProductType', 'E-ProductType']",ujala front load liquid detergent,False
vasmol hair color,Vasmol,[],hair color,"['vasmol', 'hair', 'color']","['S-Brand', 'B-ProductType', 'E-ProductType']",vasmol hair color,False
engage body spray,Engage,[],body spray,"['engage', 'body', 'spray']","['S-Brand', 'B-ProductType', 'E-ProductType']",engage body spray,False
portronics power plate,Portronics,[],power plate,"['portronics', 'power', 'plate']","['S-Brand', 'B-ProductType', 'E-ProductType']",portronics power plate,False
natural ice cream,Arun Ice Creams,['natural'],ice cream,"['natural', 'ice', 'cream', 'Arun', 'Ice', 'Creams']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",natural ice cream Arun Ice Creams,True
oneplus buds 3,Oneplus,[],buds,"['oneplus', 'buds', '3']","['S-Brand', 'S-ProductType', 'O']",oneplus buds 3,False
24 mantra sugar,24 Mantra,[],sugar,"['24', 'mantra', 'sugar']","['B-Brand', 'E-Brand', 'S-ProductType']",24 mantra sugar,False
organic sweet potato,Organic,"['organic', 'sweet']",potato,"['organic', 'sweet', 'potato']","['S-Brand', 'S-Attribute', 'S-ProductType']",organic sweet potato,False
biotique body lotion,Biotique,[],body lotion,"['biotique', 'body', 'lotion']","['S-Brand', 'B-ProductType', 'E-ProductType']",biotique body lotion,False
aachi chili powder,Aachi,[],chili powder,"['aachi', 'chili', 'powder']","['S-Brand', 'B-ProductType', 'E-ProductType']",aachi chili powder,False
magsafe iphone case,Spigen,['magsafe'],iphone case,"['magsafe', 'iphone', 'case', 'Spigen']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",magsafe iphone case Spigen,True
rice bag 25kg,Masoori rice,['25kg'],rice bag,"['rice', 'bag', '25kg', 'Masoori', 'rice']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",rice bag 25kg Masoori rice,True
boat nirvana ion,boat,[],nirvana ion,"['boat', 'nirvana', 'ion']","['S-Brand', 'B-ProductType', 'E-ProductType']",boat nirvana ion,False
shower to shower,Shower To Shower,[],,"['shower', 'to', 'shower']","['B-Brand', 'I-Brand', 'E-Brand']",shower to shower,False
id paneer paratha,iD,[],paneer paratha,"['id', 'paneer', 'paratha']","['S-Brand', 'B-ProductType', 'E-ProductType']",id paneer paratha,False
lavie men's wallet,Lavie,[],wallet,"['lavie', ""men's"", 'wallet']","['S-Brand', 'O', 'S-ProductType']",lavie men's wallet,False
transparent exam pad,,['transparent'],exam pad,"['transparent', 'exam', 'pad']","['S-Attribute', 'B-ProductType', 'E-ProductType']",transparent exam pad,False
fresh to home chicken,Fresh to Home,['fresh'],chicken,"['fresh', 'to', 'home', 'chicken']","['B-Brand', 'I-Brand', 'E-Brand', 'S-ProductType']",fresh to home chicken,False
coffee powder sachet,Coffee Mate,['sachet'],coffee powder,"['coffee', 'powder', 'sachet', 'Coffee', 'Mate']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",coffee powder sachet Coffee Mate,True
cow milk chitale,Chitale,[],milk,"['cow', 'milk', 'chitale']","['O', 'S-ProductType', 'S-Brand']",cow milk chitale,False
cadbury family pack,Cadbury,['family pack'],,"['cadbury', 'family', 'pack']","['S-Brand', 'B-Attribute', 'E-Attribute']",cadbury family pack,False
adult dog food,Foodie Puppies,['adult'],dog food,"['adult', 'dog', 'food', 'Foodie', 'Puppies']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",adult dog food Foodie Puppies,True
vim bar small,Vim,['small'],bar,"['vim', 'bar', 'small']","['S-Brand', 'S-ProductType', 'S-Attribute']",vim bar small,False
loreal face wash,L'Oreal,[],face wash,"['loreal', 'face', 'wash', ""L'Oreal""]","['O', 'B-ProductType', 'E-ProductType', 'S-Brand']",loreal face wash L'Oreal,True
kelloggs corn flakes,Kellogg's,[],corn flakes,"['kelloggs', 'corn', 'flakes', ""Kellogg's""]","['O', 'B-ProductType', 'E-ProductType', 'S-Brand']",kelloggs corn flakes Kellogg's,True
relish chicken gizzard,Relish,"['chicken', 'gizzard']",,"['relish', 'chicken', 'gizzard']","['S-Brand', 'S-Attribute', 'S-Attribute']",relish chicken gizzard,False
projector night light,Night Light,[],projector night light,"['projector', 'night', 'light']","['O', 'B-Brand', 'E-Brand']",projector night light,False
magnus lunch box,Magnus,[],lunch box,"['magnus', 'lunch', 'box']","['S-Brand', 'B-ProductType', 'E-ProductType']",magnus lunch box,False
vi-john shaving cream,VI-John,[],shaving cream,"['vi-john', 'shaving', 'cream']","['S-Brand', 'B-ProductType', 'E-ProductType']",vi-john shaving cream,False
portronics ear cleaner,,[],ear cleaner,"['portronics', 'ear', 'cleaner']","['O', 'B-ProductType', 'E-ProductType']",portronics ear cleaner,False
mccain masala fries,McCain,['masala'],fries,"['mccain', 'masala', 'fries']","['S-Brand', 'S-Attribute', 'S-ProductType']",mccain masala fries,False
lakme eyeconic kajal,Lakme,['eyeconic'],kajal,"['lakme', 'eyeconic', 'kajal']","['S-Brand', 'S-Attribute', 'S-ProductType']",lakme eyeconic kajal,False
complan kids' nutrition,Complan,"[""kids' nutrition""]",,"['complan', ""kids'"", 'nutrition']","['S-Brand', 'B-Attribute', 'E-Attribute']",complan kids' nutrition,False
stainless steel water bottle,,['stainless steel'],water bottle,"['stainless', 'steel', 'water', 'bottle']","['B-Attribute', 'E-Attribute', 'B-ProductType', 'E-ProductType']",stainless steel water bottle,False
everyuth face pack,Everyuth,[],face pack,"['everyuth', 'face', 'pack']","['S-Brand', 'B-ProductType', 'E-ProductType']",everyuth face pack,False
pan cake mix,Pan,[],pancake mix,"['pan', 'cake', 'mix']","['S-Brand', 'O', 'O']",pan cake mix,False
food colour yellow,April3rd Foods,['yellow'],food colour,"['food', 'colour', 'yellow', 'April3rd', 'Foods']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",food colour yellow April3rd Foods,True
protinex adult nutrition,Protinex,"['adult', 'nutrition']",,"['protinex', 'adult', 'nutrition']","['S-Brand', 'S-Attribute', 'S-Attribute']",protinex adult nutrition,False
nmf lip balm,Lipirose,['nmf'],lip balm,"['nmf', 'lip', 'balm', 'Lipirose']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",nmf lip balm Lipirose,True
hauser writing essentials,Hauser,['writing essentials'],,"['hauser', 'writing', 'essentials']","['S-Brand', 'B-Attribute', 'E-Attribute']",hauser writing essentials,False
fuel one whey max,Fuel One,[],whey max,"['fuel', 'one', 'whey', 'max']","['B-Brand', 'E-Brand', 'B-ProductType', 'E-ProductType']",fuel one whey max,False
rosemary essential oil,Herbal Essence,['rosemary'],essential oil,"['rosemary', 'essential', 'oil', 'Herbal', 'Essence']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",rosemary essential oil Herbal Essence,True
daily good maida,Daily Good,[],maida,"['daily', 'good', 'maida']","['B-Brand', 'E-Brand', 'S-ProductType']",daily good maida,False
hair color cream,Vip Natural Hair Colour Shampoo,[],hair color cream,"['hair', 'color', 'cream', 'Vip', 'Natural', 'Hair', 'Colour', 'Shampoo']","['B-ProductType', 'I-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",hair color cream Vip Natural Hair Colour Shampoo,True
dotted rings condoms,,['dotted'],condoms,"['dotted', 'rings', 'condoms']","['S-Attribute', 'O', 'S-ProductType']",dotted rings condoms,False
diaper small size,,['small size'],diaper,"['diaper', 'small', 'size']","['S-ProductType', 'B-Attribute', 'E-Attribute']",diaper small size,False
sanfe hair removal spray,Sanfe,[],hair removal spray,"['sanfe', 'hair', 'removal', 'spray']","['S-Brand', 'B-ProductType', 'I-ProductType', 'E-ProductType']",sanfe hair removal spray,False
period panty xxl,,['xxl'],panty,"['period', 'panty', 'xxl']","['O', 'S-ProductType', 'S-Attribute']",period panty xxl,False
beyond snack banana chips,Beyond Snack,['banana'],chips,"['beyond', 'snack', 'banana', 'chips']","['B-Brand', 'E-Brand', 'S-Attribute', 'S-ProductType']",beyond snack banana chips,False
vanilla custard powder,Cream Pot,['vanilla'],custard powder,"['vanilla', 'custard', 'powder', 'Cream', 'Pot']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",vanilla custard powder Cream Pot,True
biotique hair serum,Biotique,[],hair serum,"['biotique', 'hair', 'serum']","['S-Brand', 'B-ProductType', 'E-ProductType']",biotique hair serum,False
pizza and pasta sauce,Peppy Pasta,[],sauce,"['pizza', 'and', 'pasta', 'sauce', 'Peppy', 'Pasta']","['O', 'O', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",pizza and pasta sauce Peppy Pasta,True
hot wheels cars,,[],cars,"['hot', 'wheels', 'cars']","['O', 'O', 'S-ProductType']",hot wheels cars,False
pitambari silver shine,Pitambari,"['silver', 'shine']",,"['pitambari', 'silver', 'shine']","['S-Brand', 'S-Attribute', 'S-Attribute']",pitambari silver shine,False
protein peanut butter,Nutter Butter-S,"['protein', 'peanut']",butter,"['protein', 'peanut', 'butter', 'Nutter', 'Butter-S']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",protein peanut butter Nutter Butter-S,True
sendha namak powder,Simply Nam,"['sendha', 'namak', 'powder']",,"['sendha', 'namak', 'powder', 'Simply', 'Nam']","['S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",sendha namak powder Simply Nam,True
puff pastry sheets,,[],puff pastry sheets,"['puff', 'pastry', 'sheets']","['B-ProductType', 'I-ProductType', 'E-ProductType']",puff pastry sheets,False
dish wash liquid,Fortune Dishwasher,[],dish wash liquid,"['dish', 'wash', 'liquid', 'Fortune', 'Dishwasher']","['B-ProductType', 'I-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",dish wash liquid Fortune Dishwasher,True
zero sugar chocolate,Go Zero,['zero sugar'],chocolate,"['zero', 'sugar', 'chocolate', 'Go', 'Zero']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",zero sugar chocolate Go Zero,True
all out repellent,All Out,[],repellent,"['all', 'out', 'repellent']","['B-Brand', 'E-Brand', 'S-ProductType']",all out repellent,False
kadahi with lid,Kadhakali,['with lid'],kadahi,"['kadahi', 'with', 'lid', 'Kadhakali']","['S-ProductType', 'B-Attribute', 'E-Attribute', 'S-Brand']",kadahi with lid Kadhakali,True
veeba tomato ketchup,Veeba,[],tomato ketchup,"['veeba', 'tomato', 'ketchup']","['S-Brand', 'B-ProductType', 'E-ProductType']",veeba tomato ketchup,False
dabur pudin hara,Dabur,['pudin hara'],,"['dabur', 'pudin', 'hara']","['S-Brand', 'B-Attribute', 'E-Attribute']",dabur pudin hara,False
phool incense stick,Phool,[],incense stick,"['phool', 'incense', 'stick']","['S-Brand', 'B-ProductType', 'E-ProductType']",phool incense stick,False
